;YEAR;MONTH;DAY;TMAX;TMIN;PRCP
0;2010;1;30;278.0;145.0;0.0
1;2010;2;2;273.0;144.0;0.0
2;2010;2;3;241.0;144.0;0.0
3;2010;2;11;297.0;134.0;0.0
4;2010;2;23;299.0;107.0;0.0
5;2010;3;5;321.0;142.0;0.0
6;2010;3;10;345.0;168.0;0.0
7;2010;3;16;311.0;176.0;0.0
8;2010;4;27;363.0;167.0;0.0
9;2010;5;27;332.0;182.0;0.0
10;2010;5;29;;;25.0
11;2010;6;8;;;13.0
12;2010;6;9;;;203.0
13;2010;6;17;280.0;175.0;0.0
14;2010;6;20;;;145.0
15;2010;6;22;;;234.0
16;2010;6;25;;;13.0
17;2010;6;26;;;18.0
18;2010;6;29;301.0;180.0;0.0
19;2010;7;3;286.0;175.0;307.0
20;2010;7;6;;;76.0
21;2010;7;14;299.0;165.0;0.0
22;2010;7;17;;;147.0
23;2010;7;20;;;5.0
24;2010;7;22;;;58.0
25;2010;7;28;;;43.0
26;2010;7;30;;;112.0
27;2010;8;5;296.0;158.0;38.0
28;2010;8;6;;;5.0
29;2010;8;8;290.0;173.0;239.0
30;2010;8;10;;;180.0
31;2010;8;12;;;168.0
32;2010;8;13;298.0;165.0;168.0
33;2010;8;14;;;185.0
34;2010;8;17;;;132.0
35;2010;8;18;;;193.0
36;2010;8;20;;;117.0
37;2010;8;21;;;51.0
38;2010;8;22;;;145.0
39;2010;8;23;264.0;150.0;0.0
40;2010;8;25;297.0;156.0;0.0
41;2010;8;26;;;432.0
42;2010;8;28;;;64.0
43;2010;8;29;280.0;153.0;188.0
44;2010;8;31;254.0;154.0;0.0
45;2010;10;1;185.0;;
46;2010;10;2;56.0;;
47;2010;10;3;13.0;;
48;2010;10;4;175.0;;
49;2010;10;5;;270.0;140.0
50;2010;10;6;277.0;;
51;2010;10;7;;281.0;129.0
52;2010;10;8;345.0;;
53;2010;10;9;391.0;;
54;2010;10;10;353.0;;
55;2010;10;11;23.0;;
56;2010;10;14;119.0;295.0;130.0
57;2010;10;15;;287.0;105.0
58;2010;10;17;48.0;;
59;2010;10;18;10.0;;
60;2010;10;20;361.0;;
61;2010;10;23;15.0;;
62;2010;10;24;147.0;;
63;2010;10;25;18.0;;
64;2010;10;28;;312.0;150.0
65;2010;11;2;;313.0;163.0
66;2010;11;4;;272.0;120.0
67;2010;11;5;;263.0;79.0
68;2010;11;26;;281.0;121.0
69;2010;11;27;;277.0;142.0
70;2010;12;1;;299.0;138.0
71;2010;12;6;;278.0;105.0
